Cement | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Cement
Dripstone | Aptian | unknown | Aptian foreland flexure been also accommodated Dripstone
Dripstone | Albian | unknown | Albian foreland flexure been also accommodated Dripstone
Dripstone | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Dripstone
Dripstone | Turonian | unknown | Turonian foreland flexure been also accommodated Dripstone
Dripstone | Coniacian | unknown | Coniacian foreland flexure been also accommodated Dripstone
Dripstone | Santonian | unknown | Santonian foreland flexure been also accommodated Dripstone
Dripstone | Campanian | unknown | Campanian foreland flexure been also accommodated Dripstone
Dripstone | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Dripstone
Meniscus | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Meniscus
Meniscus | Berriasian | unknown | Berriasian foreland flexure been also accommodated Meniscus
Meniscus | Valanginian | unknown | Valanginian foreland flexure been also accommodated Meniscus
Meniscus | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Meniscus
Meniscus | Barremian | unknown | Barremian foreland flexure been also accommodated Meniscus
Meniscus | Aptian | unknown | Aptian foreland flexure been also accommodated Meniscus
Meniscus | Albian | unknown | Albian foreland flexure been also accommodated Meniscus
Meniscus | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Meniscus
Meniscus | Turonian | unknown | Turonian foreland flexure been also accommodated Meniscus
Meniscus | Coniacian | unknown | Coniacian foreland flexure been also accommodated Meniscus
Meniscus | Santonian | unknown | Santonian foreland flexure been also accommodated Meniscus
Meniscus | Campanian | unknown | Campanian foreland flexure been also accommodated Meniscus
Meniscus | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Meniscus
Drusy | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Drusy
Drusy | Berriasian | unknown | Berriasian foreland flexure been also accommodated Drusy
Drusy | Valanginian | unknown | Valanginian foreland flexure been also accommodated Drusy
Drusy | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Drusy
Drusy | Barremian | unknown | Barremian foreland flexure been also accommodated Drusy
Drusy | Aptian | unknown | Aptian foreland flexure been also accommodated Drusy
Drusy | Albian | unknown | Albian foreland flexure been also accommodated Drusy
Drusy | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Drusy
Drusy | Turonian | unknown | Turonian foreland flexure been also accommodated Drusy
Drusy | Coniacian | unknown | Coniacian foreland flexure been also accommodated Drusy
Drusy | Santonian | unknown | Santonian foreland flexure been also accommodated Drusy
Drusy | Campanian | unknown | Campanian foreland flexure been also accommodated Drusy
Drusy | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Drusy
Granular | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Granular
Granular | Berriasian | unknown | Berriasian foreland flexure been also accommodated Granular
Granular | Valanginian | unknown | Valanginian foreland flexure been also accommodated Granular
Granular | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Granular
Granular | Barremian | unknown | Barremian foreland flexure been also accommodated Granular
Granular | Aptian | unknown | Aptian foreland flexure been also accommodated Granular
Granular | Albian | unknown | Albian foreland flexure been also accommodated Granular
Granular | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Granular
Granular | Turonian | unknown | Turonian foreland flexure been also accommodated Granular
Granular | Coniacian | unknown | Coniacian foreland flexure been also accommodated Granular
Granular | Santonian | unknown | Santonian foreland flexure been also accommodated Granular
Granular | Campanian | unknown | Campanian foreland flexure been also accommodated Granular
Granular | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Granular
Blocky | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Blocky
Blocky | Berriasian | unknown | Berriasian foreland flexure been also accommodated Blocky
Blocky | Valanginian | unknown | Valanginian foreland flexure been also accommodated Blocky
Blocky | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Blocky
Blocky | Barremian | unknown | Barremian foreland flexure been also accommodated Blocky
Blocky | Aptian | unknown | Aptian foreland flexure been also accommodated Blocky
Blocky | Albian | unknown | Albian foreland flexure been also accommodated Blocky
Blocky | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Blocky
Blocky | Turonian | unknown | Turonian foreland flexure been also accommodated Blocky
Blocky | Coniacian | unknown | Coniacian foreland flexure been also accommodated Blocky
Blocky | Santonian | unknown | Santonian foreland flexure been also accommodated Blocky
Blocky | Campanian | unknown | Campanian foreland flexure been also accommodated Blocky
Blocky | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Blocky
Syntaxial | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Syntaxial
Syntaxial | Berriasian | unknown | Berriasian foreland flexure been also accommodated Syntaxial
Syntaxial | Valanginian | unknown | Valanginian foreland flexure been also accommodated Syntaxial
Syntaxial | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Syntaxial
Syntaxial | Barremian | unknown | Barremian foreland flexure been also accommodated Syntaxial
Syntaxial | Aptian | unknown | Aptian foreland flexure been also accommodated Syntaxial
Syntaxial | Albian | unknown | Albian foreland flexure been also accommodated Syntaxial
Syntaxial | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Syntaxial
Syntaxial | Turonian | unknown | Turonian foreland flexure been also accommodated Syntaxial
Syntaxial | Coniacian | unknown | Coniacian foreland flexure been also accommodated Syntaxial
Syntaxial | Santonian | unknown | Santonian foreland flexure been also accommodated Syntaxial
Syntaxial | Campanian | unknown | Campanian foreland flexure been also accommodated Syntaxial
Syntaxial | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Syntaxial
Peloidal | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Peloidal
Peloidal | Berriasian | unknown | Berriasian foreland flexure been also accommodated Peloidal
Peloidal | Valanginian | unknown | Valanginian foreland flexure been also accommodated Peloidal
Peloidal | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Peloidal
Peloidal | Barremian | unknown | Barremian foreland flexure been also accommodated Peloidal
Peloidal | Aptian | unknown | Aptian foreland flexure been also accommodated Peloidal
Peloidal | Albian | unknown | Albian foreland flexure been also accommodated Peloidal
Peloidal | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Peloidal
Peloidal | Turonian | unknown | Turonian foreland flexure been also accommodated Peloidal
Peloidal | Coniacian | unknown | Coniacian foreland flexure been also accommodated Peloidal
Peloidal | Santonian | unknown | Santonian foreland flexure been also accommodated Peloidal
Peloidal | Campanian | unknown | Campanian foreland flexure been also accommodated Peloidal
Peloidal | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Peloidal
Microcrystalline | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Microcrystalline
Microcrystalline | Berriasian | unknown | Berriasian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Valanginian | unknown | Valanginian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Barremian | unknown | Barremian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Aptian | unknown | Aptian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Albian | unknown | Albian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Turonian | unknown | Turonian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Coniacian | unknown | Coniacian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Santonian | unknown | Santonian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Campanian | unknown | Campanian foreland flexure been also accommodated Microcrystalline
Microcrystalline | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Microcrystalline
Micrite | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Micrite
Micrite | Berriasian | unknown | Berriasian foreland flexure been also accommodated Micrite
Micrite | Valanginian | unknown | Valanginian foreland flexure been also accommodated Micrite
Micrite | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Micrite
Micrite | Barremian | unknown | Barremian foreland flexure been also accommodated Micrite
Micrite | Aptian | unknown | Aptian foreland flexure been also accommodated Micrite
Micrite | Albian | unknown | Albian foreland flexure been also accommodated Micrite
Micrite | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Micrite
Micrite | Turonian | unknown | Turonian foreland flexure been also accommodated Micrite
Micrite | Coniacian | unknown | Coniacian foreland flexure been also accommodated Micrite
Micrite | Santonian | unknown | Santonian foreland flexure been also accommodated Micrite
Micrite | Campanian | unknown | Campanian foreland flexure been also accommodated Micrite
Micrite | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Micrite
Cement | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Cement
Cement | Berriasian | unknown | Berriasian foreland flexure been also accommodated Cement
Cement | Valanginian | unknown | Valanginian foreland flexure been also accommodated Cement
Cement | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Cement
Cement | Barremian | unknown | Barremian foreland flexure been also accommodated Cement
Cement | Aptian | unknown | Aptian foreland flexure been also accommodated Cement
Cement | Albian | unknown | Albian foreland flexure been also accommodated Cement
Cement | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Cement
Cement | Turonian | unknown | Turonian foreland flexure been also accommodated Cement
Cement | Coniacian | unknown | Coniacian foreland flexure been also accommodated Cement
Cement | Santonian | unknown | Santonian foreland flexure been also accommodated Cement
Cement | Campanian | unknown | Campanian foreland flexure been also accommodated Cement
Cement | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Cement
Calcite | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Calcite
Calcite | Berriasian | unknown | Berriasian foreland flexure been also accommodated Calcite
Calcite | Valanginian | unknown | Valanginian foreland flexure been also accommodated Calcite
Calcite | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Calcite
Calcite | Barremian | unknown | Barremian foreland flexure been also accommodated Calcite
Calcite | Aptian | unknown | Aptian foreland flexure been also accommodated Calcite
Calcite | Albian | unknown | Albian foreland flexure been also accommodated Calcite
Calcite | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Calcite
Calcite | Turonian | unknown | Turonian foreland flexure been also accommodated Calcite
Calcite | Coniacian | unknown | Coniacian foreland flexure been also accommodated Calcite
Calcite | Santonian | unknown | Santonian foreland flexure been also accommodated Calcite
Calcite | Campanian | unknown | Campanian foreland flexure been also accommodated Calcite
Calcite | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Calcite
Dolomite | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Dolomite
Dolomite | Berriasian | unknown | Berriasian foreland flexure been also accommodated Dolomite
Dolomite | Valanginian | unknown | Valanginian foreland flexure been also accommodated Dolomite
Dolomite | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Dolomite
Dolomite | Barremian | unknown | Barremian foreland flexure been also accommodated Dolomite
Dolomite | Aptian | unknown | Aptian foreland flexure been also accommodated Dolomite
Dolomite | Albian | unknown | Albian foreland flexure been also accommodated Dolomite
Dolomite | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Dolomite
Dolomite | Turonian | unknown | Turonian foreland flexure been also accommodated Dolomite
Dolomite | Coniacian | unknown | Coniacian foreland flexure been also accommodated Dolomite
Dolomite | Santonian | unknown | Santonian foreland flexure been also accommodated Dolomite
Dolomite | Campanian | unknown | Campanian foreland flexure been also accommodated Dolomite
Dolomite | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Dolomite
Aragonite | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Aragonite
Aragonite | Berriasian | unknown | Berriasian foreland flexure been also accommodated Aragonite
Aragonite | Valanginian | unknown | Valanginian foreland flexure been also accommodated Aragonite
Aragonite | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Aragonite
Aragonite | Barremian | unknown | Barremian foreland flexure been also accommodated Aragonite
Aragonite | Aptian | unknown | Aptian foreland flexure been also accommodated Aragonite
Aragonite | Albian | unknown | Albian foreland flexure been also accommodated Aragonite
Aragonite | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Aragonite
Aragonite | Turonian | unknown | Turonian foreland flexure been also accommodated Aragonite
Aragonite | Coniacian | unknown | Coniacian foreland flexure been also accommodated Aragonite
Aragonite | Santonian | unknown | Santonian foreland flexure been also accommodated Aragonite
Aragonite | Campanian | unknown | Campanian foreland flexure been also accommodated Aragonite
Aragonite | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Aragonite
Dolomite | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Dolomite
Dolomite | Berriasian | unknown | Berriasian foreland flexure been also accommodated Dolomite
Dolomite | Valanginian | unknown | Valanginian foreland flexure been also accommodated Dolomite
Dolomite | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Dolomite
Dolomite | Barremian | unknown | Barremian foreland flexure been also accommodated Dolomite
Dolomite | Aptian | unknown | Aptian foreland flexure been also accommodated Dolomite
Dolomite | Albian | unknown | Albian foreland flexure been also accommodated Dolomite
Dolomite | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Dolomite
Dolomite | Turonian | unknown | Turonian foreland flexure been also accommodated Dolomite
Dolomite | Coniacian | unknown | Coniacian foreland flexure been also accommodated Dolomite
Dolomite | Santonian | unknown | Santonian foreland flexure been also accommodated Dolomite
Dolomite | Campanian | unknown | Campanian foreland flexure been also accommodated Dolomite
Dolomite | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Dolomite
Nonplanar | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Nonplanar
Nonplanar | Berriasian | unknown | Berriasian foreland flexure been also accommodated Nonplanar
Nonplanar | Valanginian | unknown | Valanginian foreland flexure been also accommodated Nonplanar
Nonplanar | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Nonplanar
Nonplanar | Barremian | unknown | Barremian foreland flexure been also accommodated Nonplanar
Nonplanar | Aptian | unknown | Aptian foreland flexure been also accommodated Nonplanar
Nonplanar | Albian | unknown | Albian foreland flexure been also accommodated Nonplanar
Nonplanar | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Nonplanar
Nonplanar | Turonian | unknown | Turonian foreland flexure been also accommodated Nonplanar
Nonplanar | Coniacian | unknown | Coniacian foreland flexure been also accommodated Nonplanar
Nonplanar | Santonian | unknown | Santonian foreland flexure been also accommodated Nonplanar
Nonplanar | Campanian | unknown | Campanian foreland flexure been also accommodated Nonplanar
Nonplanar | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Nonplanar
Planar | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Planar
Planar | Berriasian | unknown | Berriasian foreland flexure been also accommodated Planar
Planar | Valanginian | unknown | Valanginian foreland flexure been also accommodated Planar
Planar | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Planar
Planar | Barremian | unknown | Barremian foreland flexure been also accommodated Planar
Planar | Aptian | unknown | Aptian foreland flexure been also accommodated Planar
Planar | Albian | unknown | Albian foreland flexure been also accommodated Planar
Planar | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Planar
Planar | Turonian | unknown | Turonian foreland flexure been also accommodated Planar
Planar | Coniacian | unknown | Coniacian foreland flexure been also accommodated Planar
Planar | Santonian | unknown | Santonian foreland flexure been also accommodated Planar
Planar | Campanian | unknown | Campanian foreland flexure been also accommodated Planar
Planar | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Planar
Crystalline | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Crystalline
Crystalline | Berriasian | unknown | Berriasian foreland flexure been also accommodated Crystalline
Crystalline | Valanginian | unknown | Valanginian foreland flexure been also accommodated Crystalline
Crystalline | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Crystalline
Crystalline | Barremian | unknown | Barremian foreland flexure been also accommodated Crystalline
Crystalline | Aptian | unknown | Aptian foreland flexure been also accommodated Crystalline
Crystalline | Albian | unknown | Albian foreland flexure been also accommodated Crystalline
Crystalline | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Crystalline
Crystalline | Turonian | unknown | Turonian foreland flexure been also accommodated Crystalline
Crystalline | Coniacian | unknown | Coniacian foreland flexure been also accommodated Crystalline
Crystalline | Santonian | unknown | Santonian foreland flexure been also accommodated Crystalline
Crystalline | Campanian | unknown | Campanian foreland flexure been also accommodated Crystalline
Crystalline | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Crystalline
Crystallization | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Crystallization
Crystallization | Berriasian | unknown | Berriasian foreland flexure been also accommodated Crystallization
Crystallization | Valanginian | unknown | Valanginian foreland flexure been also accommodated Crystallization
Crystallization | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Crystallization
Crystallization | Barremian | unknown | Barremian foreland flexure been also accommodated Crystallization
Crystallization | Aptian | unknown | Aptian foreland flexure been also accommodated Crystallization
Crystallization | Albian | unknown | Albian foreland flexure been also accommodated Crystallization
Crystallization | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Crystallization
Crystallization | Turonian | unknown | Turonian foreland flexure been also accommodated Crystallization
Crystallization | Coniacian | unknown | Coniacian foreland flexure been also accommodated Crystallization
Crystallization | Santonian | unknown | Santonian foreland flexure been also accommodated Crystallization
Crystallization | Campanian | unknown | Campanian foreland flexure been also accommodated Crystallization
Crystallization | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Crystallization
Euhedral | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Euhedral
Euhedral | Berriasian | unknown | Berriasian foreland flexure been also accommodated Euhedral
Euhedral | Valanginian | unknown | Valanginian foreland flexure been also accommodated Euhedral
Euhedral | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Euhedral
Euhedral | Barremian | unknown | Barremian foreland flexure been also accommodated Euhedral
Euhedral | Aptian | unknown | Aptian foreland flexure been also accommodated Euhedral
Euhedral | Albian | unknown | Albian foreland flexure been also accommodated Euhedral
Euhedral | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Euhedral
Euhedral | Turonian | unknown | Turonian foreland flexure been also accommodated Euhedral
Euhedral | Coniacian | unknown | Coniacian foreland flexure been also accommodated Euhedral
Euhedral | Santonian | unknown | Santonian foreland flexure been also accommodated Euhedral
Euhedral | Campanian | unknown | Campanian foreland flexure been also accommodated Euhedral
Euhedral | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Euhedral
Subhedral | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Subhedral
Subhedral | Berriasian | unknown | Berriasian foreland flexure been also accommodated Subhedral
Subhedral | Valanginian | unknown | Valanginian foreland flexure been also accommodated Subhedral
Subhedral | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Subhedral
Subhedral | Barremian | unknown | Barremian foreland flexure been also accommodated Subhedral
Subhedral | Aptian | unknown | Aptian foreland flexure been also accommodated Subhedral
Subhedral | Albian | unknown | Albian foreland flexure been also accommodated Subhedral
Subhedral | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Subhedral
Subhedral | Turonian | unknown | Turonian foreland flexure been also accommodated Subhedral
Subhedral | Coniacian | unknown | Coniacian foreland flexure been also accommodated Subhedral
Subhedral | Santonian | unknown | Santonian foreland flexure been also accommodated Subhedral
Subhedral | Campanian | unknown | Campanian foreland flexure been also accommodated Subhedral
Subhedral | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Subhedral
Anhedral | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Anhedral
Anhedral | Berriasian | unknown | Berriasian foreland flexure been also accommodated Anhedral
Anhedral | Valanginian | unknown | Valanginian foreland flexure been also accommodated Anhedral
Anhedral | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Anhedral
Anhedral | Barremian | unknown | Barremian foreland flexure been also accommodated Anhedral
Anhedral | Aptian | unknown | Aptian foreland flexure been also accommodated Anhedral
Anhedral | Albian | unknown | Albian foreland flexure been also accommodated Anhedral
Anhedral | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Anhedral
Anhedral | Turonian | unknown | Turonian foreland flexure been also accommodated Anhedral
Anhedral | Coniacian | unknown | Coniacian foreland flexure been also accommodated Anhedral
Anhedral | Santonian | unknown | Santonian foreland flexure been also accommodated Anhedral
Anhedral | Campanian | unknown | Campanian foreland flexure been also accommodated Anhedral
Anhedral | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Anhedral
Crystal | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Crystal
Crystal | Berriasian | unknown | Berriasian foreland flexure been also accommodated Crystal
Crystal | Valanginian | unknown | Valanginian foreland flexure been also accommodated Crystal
Crystal | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Crystal
Crystal | Barremian | unknown | Barremian foreland flexure been also accommodated Crystal
Crystal | Aptian | unknown | Aptian foreland flexure been also accommodated Crystal
Crystal | Albian | unknown | Albian foreland flexure been also accommodated Crystal
Crystal | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Crystal
Crystal | Turonian | unknown | Turonian foreland flexure been also accommodated Crystal
Crystal | Coniacian | unknown | Coniacian foreland flexure been also accommodated Crystal
Crystal | Santonian | unknown | Santonian foreland flexure been also accommodated Crystal
Crystal | Campanian | unknown | Campanian foreland flexure been also accommodated Crystal
Crystal | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Crystal
Crystalline | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Crystalline
Crystalline | Berriasian | unknown | Berriasian foreland flexure been also accommodated Crystalline
